# name gender1 accuracy1 samples1 gender2 accuracy2 samples2
Darryl	male	99	3408	male	   99	202
Darton	male	100	14	None	nan	nan
Daryl	male	94	3422	male	   92	272
Dathon	None	nan	nan	None	nan	nan
Dattakimar	None	nan	nan	None	nan	nan
Dave	male	99	53006	male	  100	2605
David	male	99	381770	male	  100	12593
Davide	male	99	46537	male	  100	558
Davin	male	95	618	male	  100	25
Davis	male	97	3131	male	   95	73
Dawn	female	84	1308	female	  100	1507
Daya	male	51	964	female	   78	18
Dayton	male	95	207	male	   97	30
De-Chang	male	71	7280	None	nan	nan
Dean	male	98	14854	male	   96	914
Dean-Yi	male	95	16261	None	nan	nan
Deann	female	93	272	female	  100	42
Deanne	female	99	573	female	  100	105
Deano	male	99	620	male	  100	9
Debadarshi	male	100	4	None	nan	nan
Debora	female	98	12973	female	   99	325
Deborah	female	98	22398	female	   99	1275
Debra	female	99	6762	female	  100	675
Dechun	None	nan	nan	None	nan	nan
Deepa	female	96	2845	female	  100	99
Deepak	male	100	28771	male	  100	335
Deepto	male	100	4	None	nan	nan
Defne	female	96	1711	female	   93	15
Deidre	female	98	650	female	   99	117
Deirdre	female	99	1135	female	  100	130
Dejan	male	99	7416	male	  100	139
Delo	male	86	188	None	nan	nan
Delphine	female	98	19427	female	  100	429
Demet	female	97	4441	female	  100	59
Demetrios	male	99	161	male	  100	10
Demian	male	98	616	male	   79	14
Denis	male	97	42503	male	   93	577
Denise	female	98	29702	female	  100	1844
Dennis	male	99	44146	male	   99	1279
Deokkeun	None	nan	nan	None	nan	nan
Der-Shen	male	81	2262	None	nan	nan
Derck	male	100	10	None	nan	nan
Derek	male	99	15838	male	  100	1169
Desika	female	82	11	None	nan	nan
Devdeep	male	100	26	None	nan	nan
Devon	male	71	3341	male	   51	245
Dewayne	male	100	546	male	  100	28
Di	male	54	3384	female	   81	176
Diab	male	97	268	male	  100	3
Dian	female	67	5937	female	   83	149
Diana	female	98	59982	female	   99	2885
Diane	female	98	17672	female	   99	1649
Didier	male	98	29191	male	   99	204
Diego	male	99	67382	male	  100	2270
Dieter	male	98	7678	male	  100	70
Dimitri	male	99	11238	male	  100	197
Dimitrios	male	99	1364	male	  100	27
Dimitris	male	99	10807	male	  100	287
Dinesh	male	100	16255	male	  100	154
Ding	male	70	663	female	   61	18
Dinshaw	male	100	7	male	  100	1
Dipankar	male	100	1261	male	  100	10
Dipti	female	95	813	female	   97	36
Dirk	male	99	14847	male	  100	213
Divas	unknown	50	86	None	nan	nan
Dmitri	male	99	1269	male	  100	21
Dmitry	male	100	8556	male	  100	73
Dojun	male	100	7	None	nan	nan
Dolores	female	98	4472	female	   99	178
Dominic	male	98	9763	male	   97	461
Don	male	98	23550	male	   99	1025
Donald	male	99	12793	male	  100	493
Dong	male	87	2212	male	   89	46
Dong-Chan	male	100	4	None	nan	nan
Dong-Hoon	male	100	9	None	nan	nan
Dong-Hun	male	100	10	None	nan	nan
Dong-Woo	male	100	8	None	nan	nan
Dongchuan	None	nan	nan	None	nan	nan
Donglai	male	100	4	None	nan	nan
Dongsu	male	100	35	None	nan	nan
Donn	male	96	337	male	   93	14
Donna	female	98	18923	female	  100	2227
Donovan	male	98	2916	male	   99	173
Dora	female	96	8082	female	   99	277
Doron	male	97	429	male	  100	19
Dorothy	female	98	4790	female	   99	474
Douglas	male	99	18529	male	  100	611
Doyal	male	85	20	male	  100	1
Doyle	male	97	283	male	   94	16
Dragan	male	98	7224	male	   98	122
Dragoljub	male	100	203	female	  100	1
Drayton	male	95	44	male	  100	7
Duane	male	98	2439	male	  100	173
Dubravka	female	96	308	female	  100	8
Duncan	male	99	4443	male	  100	261
Dusan	male	99	3726	male	  100	40
Dylan	male	98	19696	male	   99	785
Eanna	male	66	35	female	   50	2
Earl	male	99	2405	male	  100	201
Earle	male	99	137	male	  100	19
Eddie	male	98	13760	male	   99	679
Edgar	male	99	17612	male	  100	877
Edisher	male	100	4	None	nan	nan
Edith	female	97	9779	female	  100	373
Edmund	male	99	2400	male	  100	129
Edo	male	95	3009	male	   96	27
Eduardo	male	99	50597	male	  100	1644
