 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 72 | Golwala, Sunil Ramanlal | UNIVERSITY OF CALIFORNIA, BERKELEY | 2000 | male | 3 | 0 | 2000 | 8 | 73 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 4 | 0 | 3 | 1 | 0 | 2 | 6 | 2 | 3 | 4 | 4 | 5 | 12 | 8 | 5 | 12 | 4 |
 73 | Vaitaitis, Arturas Genrikas | COLUMBIA UNIVERSITY | 2000 | male | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 86 | Chen, Xinzhong | COLUMBIA UNIVERSITY | 2000 | None | 2 | 33 | 2017 | 9 | 211 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 1 | 0 | 1 | 1 | 3 | 1 | 1 | 3 | 2 | 4 | 2 | 2 | 1 | 2 | 3 | 1 | 3 | 1 | 0 | 0 | 4 | 7 | 3 | 1 | 3 | 4 | 6 | 5 | 4 | 11 | 7 | 14 | 11 | 23 | 51 | 31 | 22 |
 92 | Thomas, Brian Anthony | THE PENNSYLVANIA STATE UNIVERSITY | 2000 | male | 2 | 1 | 2015 | 3 | 9 | 2016 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 3 | 1 | 1 | 1 | 1 |
 94 | Muzerolle, James | Steward Observatory, University of Arizona, Tucson, AZ, 85721 | 2000 | male | 6 | 11 | 2013 | 7 | 120 | 2017 | 0 | 0 | 0 | 3 | 0 | 3 | 1 | 0 | 2 | 2 | 2 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 4 | 1 | 1 | 4 | 29 | 6 | 14 | 16 | 7 | 5 | 10 | 4 | 5 | 5 | 3 | 5 | 4 |
 101 | Richards, Gordon Todd | THE UNIVERSITY OF CHICAGO | 2000 | male | 3 | 20 | 2015 | 11 | 264 | 2017 | 0 | 0 | 1 | 0 | 1 | 1 | 4 | 3 | 1 | 3 | 1 | 4 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 3 | 6 | 14 | 13 | 15 | 17 | 20 | 26 | 14 | 14 | 14 | 10 | 14 | 12 | 13 | 16 | 22 | 21 |
 104 | Reichart, Daniel Eric | THE UNIVERSITY OF CHICAGO | 2000 | male | 9 | 6 | 2006 | 11 | 115 | 2017 | 0 | 0 | 2 | 1 | 4 | 2 | 3 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 5 | 3 | 9 | 9 | 3 | 1 | 3 | 6 | 1 | 2 | 3 | 8 | 9 | 10 | 11 | 12 | 11 | 11 |
 107 | Lichtenberg, Christopher L. | THE JOHNS HOPKINS UNIVERSITY | 2000 | male | 1 | 0 | 2000 | 2 | 1 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 108 | Mikulski, Paul Thomas | THE JOHNS HOPKINS UNIVERSITY | 2000 | male | 2 | 0 | 2000 | 2 | 0 | 2000 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 110 | Moore, Michael Wayne | UNIVERSITY OF WASHINGTON | 2000 | male | 1 | 2 | 2014 | 2 | 5 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
 116 | Phillips, Cynthia Baya | THE UNIVERSITY OF ARIZONA | 2000 | female | 2 | 2 | 2007 | 11 | 37 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 1 | 4 | 7 | 2 | 0 | 2 | 0 | 1 | 2 | 2 | 3 | 1 | 2 | 0 | 1 | 4 | 3 | 5 |
 118 | Quinn, Theodore C. | THE UNIVERSITY OF CHICAGO | 2000 | male | 4 | 0 | 2000 | 10 | 57 | 2017 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 3 | 3 | 3 | 3 | 2 | 13 | 8 | 0 | 5 | 0 | 3 | 4 | 2 | 6 | 1 | 2 | 2 | 1 |
 130 | Young, Yuan-Nan | THE UNIVERSITY OF CHICAGO | 2000 | female | 1 | 0 | 2000 | 2 | 3 | 2002 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 139 | Severson, Scott A. | THE UNIVERSITY OF CHICAGO | 2000 | male | 1 | 0 | 2000 | 4 | 3 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 145 | Venkatesan, Aparna | THE UNIVERSITY OF CHICAGO | 2000 | female | 4 | 9 | 2011 | 4 | 17 | 2016 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 1 | 4 | 2 | 0 | 3 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 1 |
 146 | Fowler, Joseph Westbrook | THE UNIVERSITY OF CHICAGO | 2000 | male | 1 | 7 | 2015 | 15 | 52 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 7 | 1 | 3 | 3 | 3 | 1 | 0 | 0 | 2 | 5 | 1 | 1 | 0 | 4 | 11 | 10 | 7 | 3 | 2 | 2 |
 147 | Wegryn, Eric | THE UNIVERSITY OF ARIZONA | 2000 | male | 1 | 0 | 2000 | 3 | 1 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
