non-USA|2018|Department of Physics, KTH Royal Institute of Technology, Stockholm, Sweden; School of Physics and Astronomy, Cardiff University, Cardiff, UK|0|Jackson, Martin Andrew|Jackson, M.
non-USA|2019|University of Cambridge Madingley Road Cambridge, CB3 OHA, UK|0|King, David Henry|King, David
non-USA|2019|National Astronomical Observatories of China (NAOC), Chinese Academy of Science, Beijing, PR China|0|Wu, Xiaoyi|Wu, X.
USA|2018|NASA JPL, Pasadena, CA USA|0|Blaney, Diana Lee|Blaney, D.
non-USA|2019|Department of Physics, Saint Louis University, St. Louis, MO 63156-0907, United States of America|0|Comer, Gregory Lee|Comer, G. L.
USA|2018|US Naval Observatory, 3450 Massachusetts Avenue, NW, Washington, DC, 20392, USA|0|Hilton, James Lindsay|Hilton, J. L.
USA|2019|Department of Physics, Western Michigan University, 1120 Everett Tower, Kalamazoo, MI 49008-5252, USA|0|Korista, Kirk Thomas|Korista, K. T.
USA|2019|Department of Astronomy, University of Massachusetts, 710 North Pleasant St., Amherst, MA 01003, USA|0|Wang, Qingde|Wang, Q. Daniel
non-USA|2019|Institute of Modern Physics, Chinese Academy of Sciences, Nanchang Road 509, Lanzhou 730000, China|0|Zhang, Dahai|Zhang, Y. J.
non-USA|2018|Nordita KTH Royal Institute of Technology and Stockholm University Roslagstullsbacken 23, SE-106 91 Stockholm, Sweden|0|Bjornsson, Gunnlaugur|Bjornsson, Gunnlaugur
non-USA|2015|Morehead State University|0|Malphrus, Benjamin Kevin|Malphrus, B.
USA|2019|Artemis, Université Côte d’Azur, Observatoire Côte d’Azur, CNRS, CS 34229, F-06304 Nice Cedex 4, France; Carleton College, Northfield, MN 55057, USA|0|Christensen, Nelson Lloyd, Jr.|Christensen, N.
non-USA|2019|GeoZentrum Nordbayern, Universität Erlangen-Nürnberg, Schlossgarten 5, 91054 Erlangen, Germany|0|Sun, Yonghe|Sun, Y. D.
USA|2015|National Center for Atmospheric Research, Boulder, Colorado USA|0|Beaton, Stuart Paul|Beaton, S. P.
non-USA|2018|Jagiellonian University, PL-31-007-Krakow, Poland|1|Ma, Chung-Chun|Majka, Z.
non-USA|2019|Department of Physics &amp; Astronomy, McMaster University, Hamilton, ON L8S 4M1 Canada|0|Wilson, Christine Diana|Wilson, Christine D.
