n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
47 | Ivanov, Valentin Dimitrov | THE UNIVERSITY OF ARIZONA | 2001 | male | 6 | 18 | 2017 | 14 | 135 | 2017 | 0 | 0 | 0 | 1 | 4 | 1 | 4 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 2 | 0 | 2 | 1 | 0 | 1 | 1 |  1 | 0 | 1 | 2 | 7 | 3 | 8 | 4 | 2 | 6 | 6 | 8 | 6 | 12 | 8 | 7 | 13 | 9 | 14 | 13 | 11 |
48 | Lai, Shih-Ping | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN | 2001 | female | 4 | 5 | 2004 | 4 | 56 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 2 | 3 | 3 | 2 | 4 | 5 | 1 | 4 | 2 | 2 | 1 | 4 | 6 | 5 | 10 |
49 | Rao, Anupama M. N. | THE UNIVERSITY OF ARIZONA | 2001 | female | 1 | 0 | 2001 | 1 | 1 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
50 | Metcalfe, Travis Scott | THE UNIVERSITY OF TEXAS AT AUSTIN | 2001 | male | 8 | 27 | 2016 | 15 | 124 | 2017 | 1 | 1 | 0 | 1 | 2 | 3 | 1 | 6 | 1 | 4 | 1 | 2 | 1 | 1 | 3 | 1 | 1 | 1 | 1 | 2 | 1 |  1 | 1 | 2 | 2 | 5 | 4 | 4 | 15 | 2 | 7 | 4 | 6 | 4 | 7 | 10 | 12 | 11 | 13 | 10 | 7 | 10 |
51 | Nagamine, Kentaro | PRINCETON UNIVERSITY | 2001 | male | 5 | 21 | 2016 | 6 | 59 | 2017 | 0 | 0 | 0 | 0 | 1 | 4 | 1 | 2 | 6 | 2 | 3 | 2 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 5 | 1 | 3 | 7 | 4 | 4 | 2 | 2 | 3 | 4 | 6 | 7 | 2 | 3 | 3 | 5 |
52 | Charbonneau, David Brian | HARVARD UNIVERSITY | 2001 | male | 4 | 10 | 2009 | 9 | 179 | 2017 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 4 | 2 | 3 | 1 | 5 | 5 | 12 | 15 | 12 | 17 | 11 | 29 | 13 | 15 | 10 | 14 | 10 |
53 | Kannappan, Sheila Jane | HARVARD UNIVERSITY | 2001 | female | 2 | 8 | 2013 | 6 | 28 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 3 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 1 | 3 | 2 | 1 | 3 | 0 | 2 | 1 | 0 | 1 | 3 | 1 | 2 | 3 | 2 | 4 | 3 |
54 | Lee, Chin-Fei | UNIVERSITY OF MARYLAND COLLEGE PARK | 2001 | male | 5 | 31 | 2017 | 13 | 80 | 2017 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 1 | 1 | 4 | 1 | 3 | 1 | 5 | 3 | 2 | 2 | 2 | 2 | 1 | 1 |  0 | 1 | 1 | 4 | 2 | 5 | 2 | 2 | 2 | 6 | 4 | 5 | 3 | 6 | 5 | 4 | 4 | 5 | 7 | 8 | 9 |
55 | Nikolaev, Sergei | UNIVERSITY OF MASSACHUSETTS AMHERST | 2001 | male | 4 | 1 | 2004 | 5 | 15 | 2013 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 2 | 2 | 0 | 2 | 1 | 3 | 0 | 1 | 2 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 0 |
56 | Johnson, Robert Lee | THE UNIVERSITY OF ARIZONA | 2001 | male | 1 | 1 | 2011 | 8 | 12 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 0 | 5 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 2 | 3 | 2 | 1 | 1 | 0 | 0 | 0 |
57 | Toigo, Anthony Domenick | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | male | 2 | 9 | 2017 | 5 | 41 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 |  1 | 0 | 2 | 0 | 1 | 1 | 2 | 4 | 0 | 4 | 0 | 1 | 1 | 2 | 3 | 3 | 3 | 5 | 2 | 3 | 3 |
58 | Chou, Hongsong | HARVARD UNIVERSITY | 2001 | None | 4 | 0 | 2001 | 5 | 6 | 2015 | 1 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 |
59 | Tokman, Mayya | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | female | 1 | 1 | 2002 | 1 | 2 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
60 | Conselice, Christopher Joseph | THE UNIVERSITY OF WISCONSIN - MADISON | 2001 | male | 11 | 30 | 2016 | 18 | 268 | 2017 | 0 | 1 | 2 | 2 | 3 | 3 | 3 | 6 | 1 | 3 | 3 | 3 | 2 | 3 | 0 | 2 | 0 | 1 | 2 | 0 | 1 |  0 | 1 | 3 | 3 | 7 | 4 | 5 | 12 | 20 | 13 | 12 | 23 | 13 | 14 | 15 | 30 | 26 | 19 | 19 | 21 | 14 |
61 | Little, Michelle Yvette | NORTHWESTERN UNIVERSITY | 2001 | female | 1 | 1 | 2014 | 1 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
