n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
86 | Li, Yang | University of Minnesota, Minnesota, USA | 2006 | male | 19 | 72 | 2017 | 56 | 216 | 2017 | 3 | 2 | 3 | 2 | 6 | 3 | 7 | 9 | 4 | 6 | 11 | 7 | 4 | 11 | 6 | 3 |  11 | 8 | 6 | 12 | 9 | 10 | 14 | 17 | 14 | 10 | 29 | 27 | 25 | 34 | 21 | 14 |
87 | Matsumura, Tomotake | University of Minnesota, Minnesota, USA | 2006 | male | 1 | 3 | 2016 | 4 | 27 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 |  0 | 0 | 2 | 0 | 1 | 1 | 2 | 0 | 1 | 2 | 3 | 1 | 1 | 9 | 3 | 4 |
88 | Palotai, Csaba | University of Louisville, Kentucky, USA | 2006 | male | 1 | 3 | 2014 | 2 | 5 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 |
89 | Marrone, Daniel Patrick | Harvard University | 2006 | male | 3 | 4 | 2012 | 14 | 126 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 3 | 2 | 4 | 1 | 4 | 3 | 6 | 7 | 13 | 10 | 15 | 17 | 16 | 18 | 19 |
90 | Bender, Chad Frederick | State University of New York at Stony Brook | 2006 | male | 2 | 2 | 2012 | 5 | 20 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  2 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 6 | 1 | 3 | 5 | 4 |
91 | Collins, Jeffrey Scott | University of California, Berkeley | 2006 | male | 1 | 0 | 2006 | 4 | 3 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
92 | Sewilo, Marta Malgorzata | The University of Wisconsin - Madison | 2006 | female | 3 | 0 | 2006 | 6 | 57 | 2017 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 3 | 1 | 1 | 3 | 4 | 8 | 10 | 7 | 2 | 5 | 5 | 6 | 4 |
93 | Boyce, Edward R. | Massachusetts Institute of Technology | 2006 | male | 3 | 1 | 2007 | 4 | 1 | 2007 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
94 | Lanting, Trevor Michael | University of California, Berkeley | 2006 | male | 1 | 0 | 2006 | 3 | 11 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 5 | 1 | 2 | 1 | 0 | 0 | 0 | 1 |
95 | Lillis, Robert James | University of California, Berkeley | 2006 | male | 4 | 19 | 2017 | 6 | 71 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 4 | 2 | 3 | 1 | 1 | 3 | 0 | 3 | 1 |  0 | 0 | 0 | 1 | 2 | 3 | 4 | 4 | 4 | 6 | 4 | 7 | 5 | 4 | 19 | 5 |
96 | Osterman, M. Angela | Georgia State University | 2006 | female | 2 | 1 | 2007 | 4 | 2 | 2007 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
97 | Plavchan, Peter Paul, Jr. | University of California, Los Angeles | 2006 | male | 2 | 7 | 2015 | 5 | 54 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 0 |  0 | 2 | 0 | 1 | 1 | 1 | 0 | 4 | 4 | 4 | 4 | 7 | 5 | 8 | 10 | 8 |
98 | Searls, Mindi Lea | Washington University in St. Louis | 2006 | female | 2 | 1 | 2010 | 3 | 8 | 2010 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 3 | 5 | 0 | 0 | 0 | 0 | 0 | 0 |
99 | Stefanescu, Eugenia | University of Miami | 2006 | female | 1 | 0 | 2006 | 2 | 0 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
100 | Paust, Nathaniel E. Q. | Dartmouth College, New Hampshire, USA | 2006 | male | 1 | 4 | 2014 | 2 | 13 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 2 | 2 | 1 | 1 | 0 | 3 | 0 | 0 |
