 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 64 | Young, Patrick Allen | THE UNIVERSITY OF ARIZONA | 2004 | male | 5 | 9 | 2014 | 8 | 36 | 2017 | 0 | 0 | 2 | 0 | 2 | 1 | 2 | 1 | 2 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 3 | 0 | 3 | 1 | 3 | 3 | 5 | 0 | 6 | 3 | 0 | 3 | 3 | 3 | 3 | 2 |
 68 | Hunt, Cynthia L. | California Institute of Technology, California, USA | 2004 | female | 1 | 0 | 2004 | 3 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 70 | Strasburg, Jana Dee | UNIVERSITY OF WASHINGTON | 2004 | female | 1 | 0 | 2004 | 2 | 1 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 72 | Curioni, Alessandro | COLUMBIA UNIVERSITY | 2004 | male | 1 | 1 | 2007 | 8 | 12 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 3 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 2 | 2 | 2 | 0 | 0 |
 73 | Hungerford, Aimee Louise | The University of Arizona, Arizona, USA | 2004 | female | 3 | 3 | 2006 | 4 | 24 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 5 | 6 | 4 | 0 | 1 | 2 | 0 | 1 | 2 | 0 | 1 | 2 |
 78 | Barnes, Jason Wayne | THE UNIVERSITY OF ARIZONA | 2004 | male | 4 | 23 | 2016 | 7 | 90 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 3 | 1 | 5 | 0 | 3 | 1 | 3 | 1 | 2 | 1 | 0 | 1 | 2 | 1 | 1 | 2 | 2 | 3 | 7 | 7 | 9 | 8 | 6 | 16 | 7 | 11 | 7 | 6 |
 83 | Neill, James D., III | COLUMBIA UNIVERSITY | 2004 | male | 4 | 7 | 2014 | 5 | 62 | 2017 | 0 | 0 | 1 | 1 | 0 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 3 | 7 | 2 | 3 | 2 | 5 | 11 | 6 | 4 | 6 | 4 | 6 |
 90 | Mastrapa, Rachel Michelle Elizabeth | THE UNIVERSITY OF ARIZONA | 2004 | female | 2 | 2 | 2010 | 2 | 7 | 2015 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 1 | 0 |
 99 | O'Brien, David Patrick | THE UNIVERSITY OF ARIZONA | 2004 | male | 3 | 11 | 2014 | 12 | 70 | 2016 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 1 | 0 | 2 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 4 | 5 | 3 | 4 | 3 | 2 | 5 | 5 | 8 | 12 | 10 | 7 | 6 | 5 |
 103 | Kessler-Silacci, Jacqueline | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2004 | female | 1 | 3 | 2007 | 2 | 19 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 5 | 5 | 6 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 104 | Sollitt, Luke | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2004 | male | 4 | 1 | 2008 | 4 | 6 | 2010 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |
 106 | O'Shaughnessy, R. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2004 | None | 3 | 18 | 2017 | 3 | 185 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 1 | 2 | 0 | 3 | 2 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 4 | 4 | 11 | 19 | 14 | 14 | 10 | 23 | 12 | 20 | 14 | 29 |
 115 | Bouchez, Antonin Henri | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2004 | male | 3 | 2 | 2012 | 7 | 28 | 2015 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 2 | 8 | 8 | 1 | 0 | 0 | 3 | 3 | 2 | 2 | 0 | 1 | 0 |
 118 | Yost, Sarah Anne | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2004 | female | 4 | 6 | 2015 | 25 | 23 | 2015 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 3 | 6 | 9 | 5 | 4 | 7 | 4 | 1 | 2 | 2 | 0 | 1 | 0 | 1 | 1 | 0 |
 123 | Chang, Tzu-Ching | COLUMBIA UNIVERSITY | 2004 | None | 5 | 3 | 2015 | 9 | 30 | 2017 | 0 | 0 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 3 | 2 | 0 | 2 | 0 | 0 | 3 | 1 | 2 | 3 | 2 | 0 | 6 | 0 | 8 | 4 |
 124 | Wilhite, Brian C. | The University of Chicago, Illinois, USA | 2004 | male | 1 | 4 | 2008 | 7 | 12 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 3 | 2 | 3 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 129 | Mamajek, Eric E. | Steward Observatory, The University of Arizona, Tucson, AZ, USA | 2004 | male | 7 | 13 | 2015 | 18 | 104 | 2017 | 2 | 2 | 0 | 1 | 0 | 2 | 1 | 2 | 1 | 2 | 0 | 2 | 0 | 2 | 1 | 1 | 1 | 0 | 2 | 2 | 3 | 3 | 5 | 3 | 6 | 8 | 8 | 7 | 7 | 11 | 7 | 8 | 7 | 10 | 13 | 7 |
 135 | Barkats, Denis | PRINCETON UNIVERSITY | 2004 | male | 2 | 3 | 2014 | 5 | 28 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 1 | 4 | 10 | 5 |
 141 | Fortney, Jonathan James | THE UNIVERSITY OF ARIZONA | 2004 | male | 4 | 21 | 2016 | 8 | 231 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 3 | 2 | 5 | 2 | 1 | 3 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 3 | 4 | 3 | 4 | 8 | 4 | 7 | 16 | 26 | 24 | 36 | 39 | 24 | 30 |
 148 | Santos, Michael Robert | California Institute of Technology | 2004 | male | 4 | 2 | 2015 | 7 | 21 | 2015 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 2 | 1 | 0 | 4 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 16 | 0 |
 150 | Johnston, David E. | THE UNIVERSITY OF CHICAGO | 2004 | male | 2 | 2 | 2007 | 32 | 54 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 8 | 6 | 12 | 5 | 9 | 8 | 6 | 9 | 7 | 2 | 6 | 0 | 2 | 0 | 0 |
 151 | Scalzo, Richard Allen | THE UNIVERSITY OF CHICAGO | 2004 | male | 3 | 5 | 2014 | 15 | 59 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 3 | 0 | 0 | 3 | 0 | 4 | 2 | 3 | 3 | 7 | 3 | 3 | 1 | 5 | 1 | 6 | 4 | 9 | 8 | 8 | 4 |
 156 | Dursi, Jonathan | THE UNIVERSITY OF CHICAGO | 2004 | male | 1 | 0 | 2004 | 1 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 157 | Kovac, John M. | THE UNIVERSITY OF CHICAGO | 2004 | male | 2 | 0 | 2004 | 17 | 34 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 5 | 6 | 3 | 1 | 0 | 0 | 1 | 6 | 5 | 2 | 2 | 1 | 4 | 8 | 4 |
 159 | Ding, Jie | The Pennsylvania State University, Pennsylvania, USA | 2004 | male | 4 | 8 | 2016 | 7 | 17 | 2016 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 4 | 2 | 2 | 2 | 0 | 1 | 2 | 1 | 1 | 0 | 2 | 2 | 2 | 2 |
