n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
142 | Cully, C. M. | University of Colorado at Boulder | 2007 | None | 3 | 3 | 2011 | 4 | 31 | 2016 | 0 | 2 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 2 | 0 | 0 | 0 | 1 | 8 | 4 | 0 | 4 | 5 | 3 | 4 | 1 | 2 |
143 | Vance, Steven | University of Washington | 2007 | male | 1 | 1 | 2016 | 2 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 |
144 | Jia, Ying-Dong | University of Michigan | 2007 | female | 4 | 9 | 2014 | 5 | 20 | 2016 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 1 | 4 | 1 | 1 | 0 | 1 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 3 | 2 | 2 | 4 | 2 | 1 | 2 | 1 | 3 | 3 |
145 | Karcz, John Stanley | Cornell University | 2007 | male | 1 | 0 | 2007 | 1 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
146 | Larsen, Brian Arthur | Montana State University | 2007 | male | 2 | 0 | 2007 | 3 | 38 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 4 | 6 | 9 | 14 |
147 | Masters, Craig Eugene | University of Missouri - Kansas City | 2007 | male | 2 | 1 | 2010 | 2 | 1 | 2010 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
148 | Noyola, Eva | The University of Texas at Austin | 2007 | female | 3 | 3 | 2011 | 4 | 14 | 2015 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 1 | 2 | 3 | 4 | 1 | 2 | 0 |
149 | Pepper, Joshua | The Ohio State University | 2007 | male | 6 | 5 | 2017 | 9 | 131 | 2017 | 0 | 1 | 0 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 2 | 1 | 1 | 2 | 3 | 1 | 0 | 1 | 3 | 8 | 25 | 19 | 26 | 30 |
150 | Fitzgerald, Michael Patrick | University of California, Berkeley | 2007 | male | 4 | 3 | 2015 | 8 | 42 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 1 | 0 | 0 | 2 | 5 | 3 | 2 | 2 | 2 | 2 | 1 | 3 | 13 | 9 |
151 | Garson, Alfred Bates, III | Washington University in St. Louis | 2007 | male | 1 | 0 | 2007 | 1 | 5 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 0 | 0 |
152 | Hughey, Brennan John | The University of Wisconsin - Madison | 2007 | male | 2 | 0 | 2007 | 29 | 111 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 9 | 6 | 7 | 5 | 5 | 12 | 8 | 7 | 17 | 6 | 13 | 6 | 27 |
153 | Hornstein, Seth David | University of California, Los Angeles | 2007 | male | 3 | 0 | 2007 | 11 | 5 | 2016 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 1 | 5 | 0 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
154 | Jackson, Dale Clayton | University of Minnesota | 2007 | male | 5 | 0 | 2007 | 6 | 1 | 2010 | 0 | 0 | 1 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
155 | Kondratko, Paul Thomas | Harvard University | 2007 | male | 5 | 1 | 2008 | 9 | 2 | 2009 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 3 | 3 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
156 | Natarajan, Aravind | University of Florida | 2007 | male | 6 | 14 | 2014 | 6 | 23 | 2015 | 0 | 0 | 0 | 1 | 1 | 4 | 2 | 2 | 2 | 3 | 1 | 2 | 2 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 4 | 2 | 2 | 2 | 4 | 1 | 7 | 4 | 1 | 0 |
157 | Patterson, Gerald Wesley | Brown University | 2007 | male | 2 | 2 | 2017 | 2 | 18 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 2 | 4 | 4 | 1 | 0 | 2 |
158 | Rex, Marie | University of Pennsylvania | 2007 | female | 4 | 2 | 2010 | 10 | 50 | 2015 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 4 | 3 | 1 | 6 | 12 | 15 | 4 | 8 | 2 | 2 | 1 | 0 |
159 | Bradley, Eric Todd | University of Colorado at Boulder | 2007 | male | 1 | 2 | 2013 | 2 | 17 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 8 | 3 | 2 | 1 | 0 | 1 | 0 |
160 | Wise, John H. | Stanford University | 2007 | male | 5 | 8 | 2014 | 9 | 45 | 2017 | 0 | 0 | 1 | 1 | 0 | 3 | 3 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 |  1 | 0 | 3 | 1 | 0 | 4 | 3 | 3 | 1 | 3 | 5 | 4 | 9 | 6 | 8 |
161 | Allen, Branden Thomas | University of California, Irvine | 2007 | male | 2 | 2 | 2013 | 33 | 179 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 7 | 9 | 5 | 12 | 19 | 19 | 11 | 10 | 26 | 17 | 19 | 13 | 30 |
