n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
40 | O'Neill, Christopher M. | CORNELL UNIVERSITY. | 1996 | male | 1 | 7 | 2014 | 3 | 11 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 4 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 |
41 | Penn, Michael James | STANFORD UNIVERSITY. | 1996 | male | 8 | 13 | 2017 | 12 | 25 | 2017 | 0 | 0 | 1 | 4 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 1 | 3 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 5 | 1 | 5 | 1 | 1 | 2 | 2 | 0 | 2 | 3 | 2 | 1 | 1 | 1 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 1 | 1 |
42 | Quigley, Mark Francis | THE CATHOLIC UNIVERSITY OF AMERICA. | 1996 | male | 1 | 1 | 2007 | 1 | 4 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
43 | Rilee, Michael Lee | CORNELL UNIVERSITY. | 1996 | male | 1 | 1 | 2001 | 3 | 2 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
44 | Small, Todd A. | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 2 | 5 | 1999 | 8 | 90 | 2011 | 0 | 1 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 2 | 0 | 3 | 1 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 35 | 5 | 36 | 3 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
45 | Trice, James Hampton | UNIVERSITY OF KENTUCKY. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
46 | Uglum, John Raymond, III | STANFORD UNIVERSITY. | 1996 | male | 2 | 0 | 1996 | 7 | 0 | 1996 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
47 | van Zee, Liese Ellen | CORNELL UNIVERSITY. | 1996 | female | 3 | 17 | 2006 | 3 | 51 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 4 | 4 | 1 | 2 | 2 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 4 | 5 | 1 | 5 | 4 | 0 | 1 | 2 | 3 | 3 | 0 | 0 | 3 | 4 | 2 | 3 | 1 | 4 | 2 | 3 |
48 | Wallington, Sylvanie | HARVARD UNIVERSITY. | 1996 | female | 5 | 0 | 1996 | 7 | 0 | 1996 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
49 | Frayer, David Theodore | UNIVERSITY OF VIRGINIA. | 1996 | male | 2 | 18 | 2015 | 4 | 164 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 3 | 2 | 1 | 0 | 0 | 1 | 2 | 0 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 2 | 0 |  1 | 0 | 1 | 1 | 0 | 1 | 4 | 4 | 4 | 3 | 5 | 1 | 4 | 25 | 5 | 7 | 11 | 9 | 12 | 27 | 17 | 7 | 9 | 1 | 4 | 1 |
50 | Getaneh, Misganaw | TEMPLE UNIVERSITY. | 1996 | male | 1 | 0 | 1996 | 2 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
51 | Hendrix, Douglas Lee | UNIVERSITY OF CALIFORNIA, IRVINE. | 1996 | male | 3 | 0 | 1996 | 4 | 1 | 1997 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
