n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
267 | Czakon, Nicole G. | California Institute of Technology | 2013 | female | 1 | 1 | 2015 | 14 | 12 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 9 | 5 | 4 | 4 | 2 |
268 | Harris, Robert J. | Harvard University | 2013 | male | 4 | 1 | 2018 | 7 | 15 | 2018 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 1 | 0 |  0 | 1 | 0 | 1 | 3 | 2 | 3 | 5 | 5 |
269 | Zu, Ying | The Ohio State University | 2013 | female | 6 | 6 | 2018 | 11 | 19 | 2018 | 1 | 0 | 0 | 2 | 0 | 3 | 2 | 1 | 2 |  1 | 0 | 0 | 2 | 3 | 5 | 4 | 4 | 6 |
270 | Dong, Ruobing | Princeton University | 2013 | male | 11 | 15 | 2018 | 20 | 29 | 2018 | 0 | 1 | 2 | 4 | 3 | 1 | 0 | 4 | 4 |  0 | 1 | 2 | 4 | 8 | 5 | 1 | 11 | 8 |
271 | Chen, Erinna M. | University of California, Santa Cruz | 2013 | female | 4 | 2 | 2016 | 4 | 2 | 2018 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 |  1 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 |
272 | Penna, Robert Francis | Harvard University | 2013 | male | 8 | 7 | 2018 | 17 | 9 | 2018 | 0 | 0 | 1 | 1 | 2 | 4 | 2 | 2 | 1 |  1 | 1 | 2 | 3 | 5 | 5 | 4 | 2 | 1 |
273 | Parry, Alan R. | Duke University | 2013 | male | 1 | 1 | 2014 | 1 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |
274 | Mills, Elisabeth Anne Crossfield | University of California, Los Angeles | 2013 | female | 4 | 3 | 2018 | 9 | 17 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 0 |  0 | 0 | 2 | 2 | 1 | 4 | 0 | 4 | 8 |
275 | Hanson, Jordan Christian | University of California, Irvine | 2013 | male | 2 | 1 | 2017 | 70 | 89 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  15 | 14 | 10 | 8 | 16 | 7 | 15 | 10 | 28 |
276 | Suzuki, Aritoki | University of California, Berkeley | 2013 | None | 5 | 1 | 2018 | 38 | 33 | 2018 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 1 |  8 | 6 | 3 | 6 | 8 | 7 | 8 | 8 | 9 |
277 | Miller, Adam Andrew | University of California, Berkeley | 2013 | male | 8 | 4 | 2018 | 36 | 63 | 2018 | 2 | 1 | 2 | 1 | 1 | 1 | 0 | 2 | 0 |  2 | 8 | 7 | 9 | 6 | 4 | 4 | 13 | 18 |
278 | Hargis, Jonathan Robert | Indiana University | 2013 | male | 3 | 3 | 2016 | 5 | 8 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 1 |  0 | 0 | 0 | 1 | 2 | 2 | 2 | 2 | 3 |
279 | Newby, Matthew T. | Rensselaer Polytechnic Institute | 2013 | male | 3 | 0 | 2013 | 6 | 0 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 0 |
280 | Sadeghian, Laleh | Washington University in St. Louis | 2013 | female | 3 | 0 | 2013 | 4 | 62 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 2 | 0 | 5 | 27 |
281 | Unver, Mehmet Tuncer | Montana State University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
282 | Aikin, Randol Wallace | California Institute of Technology | 2013 | male | 1 | 0 | 2013 | 3 | 13 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 1 | 4 | 5 | 3 |
283 | Hakobian, Nicholas Szandor | University of Illinois at Urbana-Champaign | 2013 | male | 3 | 0 | 2013 | 6 | 1 | 2014 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 0 |
284 | Guzewich, Scott D. | The Johns Hopkins University | 2013 | male | 4 | 7 | 2017 | 7 | 20 | 2018 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 1 | 2 |  0 | 0 | 0 | 0 | 1 | 6 | 4 | 6 | 3 |
285 | Castro, Philip J. | University of Delaware | 2013 | male | 4 | 1 | 2016 | 7 | 1 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 1 |  1 | 0 | 0 | 2 | 2 | 2 | 0 | 0 | 1 |
286 | Lee, Min-Young | The University of Wisconsin - Madison | 2013 | female | 3 | 3 | 2016 | 22 | 19 | 2018 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 |  7 | 6 | 2 | 1 | 3 | 3 | 3 | 10 | 4 |
287 | Volk, Kathryn Margaret | The University of Arizona | 2013 | female | 5 | 4 | 2018 | 13 | 22 | 2018 | 1 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 1 |  4 | 2 | 2 | 2 | 1 | 2 | 3 | 5 | 6 |
288 | Augustson, K. C. | University of Colorado at Boulder | 2013 | None | 4 | 2 | 2016 | 4 | 5 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 1 |  0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 3 |
289 | Stephens, Ian William | University of Illinois at Urbana-Champaign | 2013 | male | 3 | 7 | 2018 | 4 | 21 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 1 | 1 |  0 | 0 | 0 | 1 | 0 | 3 | 4 | 4 | 5 |
290 | DeCesar, Megan Elizabeth | University of Maryland, College Park | 2013 | female | 2 | 1 | 2015 | 12 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 |  0 | 0 | 3 | 2 | 4 | 3 | 0 | 1 | 1 |
291 | Feiden, Gregory Alexander | Dartmouth College | 2013 | male | 6 | 3 | 2016 | 8 | 17 | 2018 | 0 | 0 | 0 | 1 | 2 | 3 | 2 | 0 | 1 |  0 | 0 | 0 | 1 | 4 | 3 | 6 | 3 | 4 |
292 | Binder, Breanna Arlene | University of Washington | 2013 | female | 7 | 4 | 2018 | 9 | 7 | 2018 | 0 | 1 | 0 | 3 | 1 | 2 | 0 | 2 | 1 |  1 | 1 | 0 | 3 | 1 | 3 | 0 | 2 | 1 |
