n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
31 | Agarwal, Nimit | University of Florida | 2013 | male | 1 | 0 | 2013 | 2 | 4 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |
32 | Mamikonyan, Ernest N. | Drexel University | 2013 | male | 1 | 1 | 2017 | 1 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
33 | Moody, Christopher E. | University of California, Santa Cruz | 2013 | male | 1 | 2 | 2014 | 2 | 6 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 5 | 1 | 0 |
34 | McAlpine, William | George Mason University | 2013 | male | 2 | 0 | 2013 | 4 | 3 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 2 | 2 | 0 | 0 |
35 | Hermes, J. J. | University of Texas at Austin | 2013 | None | 9 | 9 | 2017 | 23 | 40 | 2018 | 0 | 0 | 0 | 1 | 3 | 5 | 3 | 2 | 0 |  0 | 0 | 1 | 5 | 9 | 8 | 9 | 9 | 8 |
36 | Mattern, Brian | University of Washington | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
37 | Sully, James Kenneth | University of California, Santa Barbara | 2013 | male | 1 | 0 | 2013 | 4 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 |
38 | Mozena, Mark W. | University of California, Santa Cruz | 2013 | male | 1 | 0 | 2013 | 14 | 9 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 6 | 3 | 5 | 5 | 3 | 0 |
39 | Munshi, Ferah | University of Washington | 2013 | female | 2 | 2 | 2014 | 5 | 4 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 3 | 3 | 0 | 1 |
40 | Battersby, Cara | University of Colorado at Boulder | 2013 | female | 3 | 3 | 2017 | 26 | 18 | 2018 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 0 | 0 |  1 | 0 | 8 | 6 | 4 | 7 | 3 | 7 | 4 |
41 | Britt, Christopher T. | Louisiana State University | 2013 | male | 2 | 4 | 2017 | 7 | 17 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 |  0 | 0 | 0 | 1 | 3 | 3 | 6 | 3 | 3 |
42 | Guillochon, James | University of California, Santa Cruz | 2013 | male | 5 | 10 | 2018 | 16 | 36 | 2018 | 0 | 1 | 1 | 1 | 0 | 2 | 2 | 4 | 1 |  0 | 2 | 1 | 3 | 3 | 7 | 4 | 8 | 7 |
