n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
223 | Concannon, Kristi Dendy | THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL | 2003 | female | 2 | 0 | 2003 | 3 | 2 | 2007 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
224 | de Filippis, E. | MIT, 77 Mass Ave., Cambridge, MA 02139; USA | 2003 | None | 1 | 3 | 2011 | 6 | 14 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 4 | 1 | 3 | 1 | 2 | 2 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 0 |
225 | Butler, Nathaniel Richard | Massachusetts Institute of Technology | 2003 | male | 2 | 13 | 2013 | 10 | 88 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 5 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 8 | 5 | 7 | 5 | 9 | 4 | 7 | 10 | 11 | 10 | 2 | 6 | 5 | 5 |
226 | Clement, Ralph Ryan Christopher | MICHIGAN STATE UNIVERSITY | 2003 | male | 3 | 0 | 2003 | 5 | 3 | 2010 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 0 | 0 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
227 | Geha, Marla | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2003 | female | 5 | 9 | 2015 | 26 | 79 | 2017 | 1 | 0 | 0 | 0 | 1 | 3 | 0 | 1 | 2 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 |  1 | 1 | 7 | 10 | 3 | 4 | 1 | 3 | 5 | 4 | 7 | 4 | 9 | 5 | 9 | 9 | 6 | 8 | 8 |
228 | Heldmann, Jennifer Lynne | UNIVERSITY OF COLORADO AT BOULDER | 2003 | female | 1 | 10 | 2016 | 3 | 29 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 2 | 1 |  1 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 2 | 3 | 1 | 3 | 1 | 3 | 4 | 1 | 6 | 1 |
229 | Musiri, Suphot | THE UNIVERSITY OF TEXAS AT AUSTIN | 2003 | male | 3 | 1 | 2006 | 3 | 3 | 2012 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
230 | Miyagi, Torafumi | UNIVERSITY OF CALIFORNIA, RIVERSIDE | 2003 | None | 1 | 1 | 2005 | 2 | 1 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
231 | Tsokaros, Antonios A. | THE UNIVERSITY OF WISCONSIN - MILWAUKEE | 2003 | male | 1 | 5 | 2016 | 1 | 14 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 2 | 2 | 2 | 1 | 3 |
232 | Wallace, Debra Jean | GEORGIA STATE UNIVERSITY | 2003 | female | 1 | 1 | 2005 | 6 | 9 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 2 | 1 | 1 | 1 | 3 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 |
