# name    |  phd_institution  | host_institution  | hubble_year | foo
  Gordon Squires    |    University of Toronto - 1995    |    California Institute of Technology    |  1998  |
  Jennifer Wiseman    |    Harvard University - 1995    |    The Johns Hopkins University     |  1998  |
  Matias Zaldarriaga    |    Massachusetts Institute of Technology - 1998    |    Princeton, Institute for Advanced Study    |  1998  |
  Rebecca A. Bernstein    |    California Institute of Technology - 1997    |    Observatories of the Carnegie Institute of Washington    |  1997  |
  Arjun Dey    |    University of California, Berkeley - 1994    | The Johns Hopkins University  Kitt Peak National Observatory (yr 2)    |  1997  |
  Karl Gebhardt    |    Rutgers 1994    |    University of California, Santa Cruz    |  1997  |
  William M. Grundy    |    University of Arizona - 1995    |    Lowell Observatory    |  1997  |
  Rafael Guzman    |    Durham 1994    |    Yale University     |  1997  |
  David W. Hogg    |    California Institute of Technology - 1997    |    Princeton, Institute for Advanced Study    |  1997  |
  Henry A Kobulnicky    |    University of Minnesota - 1997    |    University of California, Santa Cruz  University of Wisconsin |  1997  |
  Lori M. Lubin    |    Princeton University - 1995    |    California Institute of Technology    |  1997  |
  Ronald O. Marzke    |    Harvard University - 1994    |    Observatories of the Carnegie Institute of Washington    |  1997  |
  Dean E. McLaughlin    |    McMaster 1997    |    University of California, Berkeley    |  1997  |
  Michael R. Meyer    |    University of Massachusetts - 1996    |    University of Arizona    |  1997  |
  Michael A. Pahre    |    California Institute of Technology - 1997    |    Center for Astrophysics    |  1997  |
  Michael W. Regan    |    University of Maryland - 1996    |    Dept. Terrest. Magn.    |  1997  |
  Marco Spaans    |    Leiden 1995    |    Center for Astrophysics    |  1997  |
  Frank C. van den Bosch    |    Leiden 1997    |    University of Washington    |  1997  |
  Marcella Carollo    |    Munich - 1993    |    The Johns Hopkins University     |  1996  |
  Brian Chaboyer    |    Yale University - 1993    |    University of Arizona    |  1996  |
  Laura Ferrarese    |    The Johns Hopkins University - 1995    |    California Institute of Technology    |  1996  |
  Andrew Layden    |    Yale University - 1993    |    University of Michigan  Bowling Green State University of  |  1996  |
  Crystal Martin    |    University of Arizona - 1996    |    Space Telescope Science Institute    |  1996  |
  Max Tegmark    |    University of California, Berkeley - 1994    |    Princeton, Institute for Advanced Study    |  1996  |
  Lifan Wang    |    ESO/USTC - 1993    |    University of Texas    |  1996  |
  David Wilner    |    University of California, Berkeley - 1993    |    Center for Astrophysics    |  1996  |
  Ann Zabludoff    |    Harvard University - 1993    |    University of California, Santa Cruz    |  1996  |
  Robert Blum    |    The Ohio State University- 1995    |    JILA, University of Colorado    |  1995  |
  Michael Eracleous    |    Columbia University - 1992    |    University of California, Berkeley    |  1995  |
  Philippe Fischer    |    McMaster University -  1993    |    University of Michigan    |  1995  |
  Adam Frank    |    University of Washington - 1992    |    University of Minnesota    |  1995  |
  Mauro Giavalisco    |    Rome - 1992    |    Observatories of the Carnegie Institute of Washington    |  1995  |
  Margaret Hanson    |    University of Colorado - 1995    |    University of Arizona    |  1995  |
  Inger Jorgensen    |    Copenhagen - 1993    |    University of Texas    |  1995  |
  Chris Mihos    |    University of Michigan - 1992    |    The Johns Hopkins University Case Western University |  1995  |
