n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
238 | Yuan, Yuan | The Johns Hopkins University | 2012 | male | 7 | 3 | 2015 | 29 | 18 | 2018 | 0 | 0 | 0 | 2 | 3 | 2 | 1 | 0 | 2 | 0 |  3 | 4 | 4 | 6 | 6 | 6 | 2 | 3 | 4 | 4 |
239 | Soto, Alejandro | California Institute of Technology | 2012 | male | 1 | 1 | 2015 | 2 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 |
240 | Yim, Ki Jeong | University of Illinois at Urbana-Champaign | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
241 | O'Connor, Evan Patrick | California Institute of Technology | 2012 | male | 5 | 3 | 2018 | 15 | 21 | 2018 | 1 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 |  2 | 1 | 0 | 1 | 4 | 7 | 4 | 4 | 4 | 6 |
242 | Cheng, Judy Y. | University of California, Santa Cruz | 2012 | female | 4 | 0 | 2012 | 6 | 1 | 2018 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 0 | 0 |
243 | Kreckel, Kathryn Joyce | Columbia University | 2012 | female | 5 | 5 | 2018 | 6 | 21 | 2018 | 0 | 0 | 0 | 0 | 3 | 2 | 1 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 4 | 2 | 7 | 1 | 3 | 5 |
244 | Bauermeister, Amber Nicole | University of California, Berkeley | 2012 | female | 2 | 2 | 2013 | 7 | 4 | 2014 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 4 | 2 | 1 | 2 | 2 | 0 | 0 |
245 | Groff, Tyler D. | Princeton University | 2012 | male | 1 | 2 | 2016 | 2 | 5 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 |  0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 |
246 | Young, Jason | The Pennsylvania State University | 2012 | male | 1 | 3 | 2015 | 11 | 10 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 |  0 | 1 | 3 | 4 | 0 | 3 | 3 | 2 | 3 | 0 |
247 | Ramos, Christopher David | Mississippi State University | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
248 | Wild, Steven | Old Dominion University | 2012 | male | 1 | 0 | 2012 | 2 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 |
249 | Robinson, Tyler D. | University of Washington | 2012 | male | 5 | 7 | 2018 | 11 | 27 | 2018 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 4 | 0 | 1 |  0 | 0 | 1 | 2 | 6 | 2 | 3 | 9 | 4 | 2 |
250 | Weisgarber, Thomas Raymond | The University of Chicago | 2012 | male | 1 | 0 | 2012 | 33 | 22 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 7 | 7 | 14 | 5 | 2 | 3 | 4 | 1 |
251 | Morgan, Robert | Arizona State University | 2012 | male | 1 | 1 | 2015 | 2 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 |
252 | Xia, Lifang | Arizona State University | 2012 | female | 4 | 0 | 2012 | 24 | 7 | 2017 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 |  3 | 6 | 5 | 3 | 4 | 3 | 3 | 1 | 0 | 1 |
253 | Aniano Porcile, Gonzalo Jorge | Princeton University | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
254 | Buhrman, Kristina Mairi | University of Southern California | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
255 | Hammer, Derek M. | The Johns Hopkins University | 2012 | male | 4 | 0 | 2012 | 82 | 29 | 2016 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 |  7 | 16 | 14 | 13 | 12 | 20 | 9 | 16 | 2 | 2 |
256 | Plazas, Andres Alejandro | University of Pennsylvania | 2012 | male | 1 | 4 | 2018 | 1 | 93 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 19 | 37 |
257 | Creasey, John E. | University of Colorado at Boulder | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
258 | Kornei, Katherine Anne | University of California, Los Angeles | 2012 | female | 4 | 1 | 2013 | 7 | 3 | 2013 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 2 | 2 | 0 | 3 | 3 | 0 | 0 | 0 |
259 | Warren, Steven Ray | University of Minnesota | 2012 | male | 4 | 1 | 2015 | 8 | 14 | 2018 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 1 | 0 |  1 | 0 | 1 | 0 | 3 | 3 | 5 | 2 | 4 | 2 |
260 | Bird, Jonathan C. | The Ohio State University | 2012 | male | 5 | 1 | 2013 | 17 | 15 | 2018 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 |  0 | 2 | 5 | 2 | 2 | 6 | 2 | 4 | 3 | 1 |
261 | Valsecchi, Francesca | Northwestern University | 2012 | female | 3 | 5 | 2015 | 6 | 8 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 3 | 1 | 0 |  0 | 0 | 0 | 2 | 0 | 4 | 1 | 6 | 1 | 0 |
262 | Pablo, Herbert William | Iowa State University | 2012 | male | 4 | 3 | 2017 | 5 | 19 | 2018 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 2 | 3 | 0 | 0 | 4 | 8 |
263 | Guo, Peng-Cheng | University of Florida | 2012 | male | 3 | 1 | 2015 | 7 | 4 | 2018 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 3 | 3 | 1 | 1 | 0 | 2 | 1 |
264 | Becker, Adam M. | University of Michigan | 2012 | male | 4 | 0 | 2012 | 7 | 11 | 2018 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 1 | 5 | 3 | 3 | 3 | 1 |
265 | Bilikova, Jana | University of Illinois at Urbana-Champaign | 2012 | female | 2 | 0 | 2012 | 6 | 0 | 2012 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 |
266 | Chan, Kwan Chuen | New York University | 2012 | female | 7 | 6 | 2018 | 9 | 13 | 2018 | 2 | 1 | 1 | 0 | 0 | 3 | 0 | 2 | 1 | 0 |  3 | 1 | 1 | 0 | 0 | 4 | 2 | 5 | 1 | 1 |
267 | Stevenson, Rachel Ann | University of California, Los Angeles | 2012 | female | 4 | 2 | 2015 | 7 | 14 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 1 | 0 |  0 | 2 | 0 | 1 | 0 | 4 | 2 | 5 | 4 | 1 |
268 | Pfendner, Carl Gilbert | The University of Wisconsin - Madison | 2012 | male | 1 | 0 | 2012 | 31 | 50 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 6 | 9 | 13 | 11 | 9 | 14 | 12 |
269 | Tsai, Yuhsin | Cornell University | 2012 | None | 2 | 0 | 2012 | 5 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 4 | 0 | 0 | 1 | 1 |
270 | Hummels, Cameron | Columbia University | 2012 | male | 2 | 2 | 2017 | 8 | 9 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 0 | 5 | 2 | 3 | 1 | 1 |
271 | Jontof-Hutter, Daniel Simon | University of Maryland, College Park | 2012 | male | 3 | 5 | 2018 | 3 | 13 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 3 | 2 | 3 | 3 | 3 |
272 | Coughlin, Jeffrey Langer | New Mexico State University | 2012 | male | 9 | 4 | 2016 | 14 | 21 | 2018 | 1 | 2 | 0 | 2 | 1 | 3 | 1 | 2 | 0 | 1 |  1 | 3 | 1 | 4 | 1 | 4 | 2 | 6 | 5 | 6 |
273 | Just, Dennis William | The University of Arizona | 2012 | male | 4 | 0 | 2012 | 12 | 3 | 2017 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 3 | 4 | 4 | 0 | 2 | 0 | 0 |
274 | DiPompeo, Michael A. | University of Wyoming | 2012 | male | 6 | 11 | 2018 | 6 | 25 | 2018 | 0 | 0 | 0 | 1 | 2 | 3 | 3 | 2 | 2 | 2 |  0 | 0 | 0 | 1 | 2 | 3 | 8 | 5 | 4 | 3 |
275 | Lewis, Nikole Kae | The University of Arizona | 2012 | female | 3 | 3 | 2017 | 14 | 44 | 2018 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 |  0 | 0 | 1 | 4 | 3 | 6 | 7 | 7 | 8 | 9 |
276 | Walsh, Brian M. | Boston University | 2012 | male | 4 | 8 | 2018 | 6 | 29 | 2018 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 1 | 1 | 2 |  1 | 0 | 0 | 0 | 1 | 4 | 3 | 9 | 5 | 6 |
277 | Draper, Aden R. | Georgia Institute of Technology | 2012 | male | 9 | 1 | 2017 | 10 | 1 | 2017 | 0 | 0 | 1 | 2 | 3 | 3 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 4 | 3 | 0 | 0 | 0 | 0 |
278 | Tysanner, Martin W. | University of California, Santa Cruz | 2012 | male | 1 | 0 | 2012 | 2 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
279 | Trangsrud, Amy R. | California Institute of Technology | 2012 | female | 1 | 0 | 2012 | 4 | 5 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 1 | 0 | 2 | 1 |
280 | Reinsch, Andreas D. W. | University of Oregon | 2012 | male | 1 | 0 | 2012 | 1 | 2 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 |
281 | Mathews, Geoffrey Sean | University of Hawai'i at Manoa | 2012 | male | 4 | 2 | 2013 | 14 | 14 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 0 | 0 | 0 |  0 | 1 | 2 | 4 | 0 | 7 | 8 | 1 | 2 | 2 |
282 | Bruntz, Robert Jeffrey | The University of Texas at Arlington | 2012 | male | 3 | 0 | 2012 | 8 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 0 | 5 | 0 | 1 | 0 | 2 |
283 | McDonald, Hilary Jane | University of Washington | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
284 | Hilburn, Guy Louis | Rice University | 2012 | male | 4 | 0 | 2012 | 4 | 0 | 2012 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 |
285 | Cherinka, Brian | University of Pittsburgh | 2012 | male | 3 | 0 | 2012 | 3 | 11 | 2018 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 5 | 3 |
286 | Straka, Lorrie Ann | University of South Carolina | 2012 | female | 3 | 3 | 2016 | 4 | 10 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 |  0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 6 |
287 | Smidt, Joseph Michael | University of California, Irvine | 2012 | male | 5 | 3 | 2018 | 20 | 27 | 2018 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 1 | 1 |  0 | 1 | 2 | 4 | 6 | 7 | 9 | 6 | 8 | 3 |
288 | DeBuhr, Jackson Eugene | University of California, Berkeley | 2012 | male | 2 | 0 | 2018 | 5 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 0 |
289 | Allured, Ryan | The University of Iowa | 2012 | male | 1 | 3 | 2013 | 2 | 5 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 3 | 0 | 1 | 1 |
290 | ElShafie, Ahmed Mohamed | University of Arkansas | 2012 | male | 3 | 1 | 2013 | 3 | 1 | 2013 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 |
291 | Gibelyou, Cameron M. | University of Michigan | 2012 | male | 3 | 0 | 2012 | 4 | 1 | 2014 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 0 | 0 |
292 | Becerril Reyes, Ana Delia | Michigan State University | 2012 | female | 1 | 0 | 2012 | 1 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 |
293 | Tsurusaki, Kazuma | The University of Iowa | 2012 | male | 1 | 0 | 2012 | 15 | 5 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 6 | 9 | 3 | 1 | 1 | 0 |
294 | Huang, Yi-Cheng | University of Pittsburgh | 2012 | None | 7 | 8 | 2018 | 17 | 39 | 2018 | 2 | 1 | 1 | 0 | 2 | 1 | 0 | 3 | 2 | 1 |  2 | 3 | 4 | 0 | 4 | 4 | 2 | 7 | 10 | 7 |
295 | Nichols, David A. | California Institute of Technology | 2012 | male | 5 | 1 | 2018 | 12 | 27 | 2018 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 2 | 3 | 5 | 1 | 0 | 2 | 3 |
296 | Elmer, Michael J. | Brigham Young University | 2012 | male | 2 | 1 | 2013 | 3 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 |
297 | Greer, Christopher Holland | The University of Chicago | 2012 | male | 1 | 0 | 2012 | 11 | 8 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  2 | 0 | 2 | 2 | 1 | 4 | 1 | 1 | 5 | 1 |
298 | Scott, Jason Terrence | Montana State University | 2012 | male | 4 | 1 | 2013 | 51 | 85 | 2018 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 |  0 | 2 | 12 | 9 | 9 | 19 | 9 | 13 | 6 | 27 |
299 | Maruca, Bennett Andrew | Harvard University | 2012 | male | 3 | 2 | 2018 | 6 | 16 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 4 | 11 | 2 | 0 | 1 |
300 | Lin, Hsiao-Hsuan | University of Southern California | 2012 | female | 2 | 4 | 2017 | 55 | 47 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 0 |  5 | 8 | 14 | 10 | 7 | 11 | 3 | 3 | 12 | 15 |
301 | Lim, Yeunhwan | State University of New York at Stony Brook | 2012 | None | 2 | 4 | 2018 | 4 | 7 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 0 |  1 | 0 | 2 | 0 | 0 | 1 | 2 | 3 | 1 | 0 |
302 | Hearin, Andrew P. | University of Pittsburgh | 2012 | male | 5 | 9 | 2017 | 6 | 21 | 2018 | 0 | 0 | 1 | 1 | 1 | 2 | 3 | 1 | 2 | 2 |  0 | 0 | 1 | 1 | 2 | 2 | 4 | 3 | 8 | 4 |
303 | Steiner, James Francis | Harvard University | 2012 | male | 8 | 6 | 2017 | 17 | 31 | 2018 | 0 | 0 | 2 | 1 | 1 | 4 | 1 | 2 | 0 | 2 |  0 | 0 | 3 | 4 | 6 | 4 | 4 | 9 | 6 | 9 |
304 | Zasowski, Gail | University of Virginia | 2012 | female | 3 | 6 | 2017 | 10 | 62 | 2018 | 0 | 0 | 2 | 0 | 0 | 1 | 2 | 0 | 2 | 1 |  0 | 0 | 2 | 0 | 2 | 6 | 7 | 11 | 18 | 9 |
305 | Khargharia, Juthika | University of Colorado at Boulder | 2012 | female | 3 | 1 | 2013 | 4 | 1 | 2013 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 |
306 | Simet, Melanie | The University of Chicago | 2012 | female | 4 | 3 | 2018 | 8 | 8 | 2018 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 |  0 | 1 | 2 | 1 | 0 | 4 | 0 | 2 | 3 | 0 |
307 | Steele, Matthew M. | Michigan State University | 2012 | male | 2 | 1 | 2014 | 4 | 1 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 |  0 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 |
