n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
11 | Olmez, Serkay | University of Minnesota | 2012 | male | 1 | 0 | 2012 | 3 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |
12 | Gugliucci, Nicole E. | University of Virginia | 2012 | female | 2 | 0 | 2012 | 6 | 7 | 2017 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 1 | 1 | 2 | 3 | 1 | 1 | 1 |
13 | McNally, Colin P. | Columbia University / American Museum of Natural History | 2012 | male | 5 | 6 | 2018 | 7 | 9 | 2018 | 0 | 0 | 1 | 0 | 1 | 3 | 1 | 1 | 2 | 0 |  0 | 0 | 1 | 0 | 1 | 5 | 1 | 1 | 4 | 0 |
14 | Shi, Xiaoyu | University of California, Davis | 2012 | None | 6 | 9 | 2018 | 24 | 59 | 2018 | 0 | 0 | 0 | 3 | 1 | 2 | 1 | 2 | 1 | 3 |  1 | 4 | 6 | 5 | 3 | 5 | 6 | 6 | 6 | 16 |
15 | Mitryk, Shawn J. | University of Florida | 2012 | male | 3 | 0 | 2012 | 5 | 1 | 2014 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 2 | 0 | 1 | 0 | 0 |
16 | Moore, David Craig | California Institute of Technology | 2012 | male | 3 | 1 | 2014 | 14 | 9 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 |  0 | 1 | 1 | 4 | 5 | 3 | 3 | 2 | 2 | 2 |
17 | Matejek, Michael Scott | Massachusetts Institute of Technology | 2012 | male | 2 | 1 | 2013 | 7 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 1 | 3 | 1 | 1 | 0 | 0 |
18 | McEnulty, Tess Rose | University of California, Berkeley | 2012 | None | 2 | 0 | 2012 | 3 | 7 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 6 | 1 |
19 | Hainline, Kevin Nicholas | University of California, Los Angeles | 2012 | male | 4 | 6 | 2016 | 5 | 18 | 2018 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 2 | 1 | 2 |  0 | 0 | 1 | 0 | 1 | 3 | 3 | 4 | 4 | 4 |
20 | Capellupo, Daniel Moshin | University of Florida | 2012 | male | 3 | 7 | 2017 | 4 | 13 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 1 | 3 | 2 | 2 | 2 | 2 |
