n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
221 | Luhman, Kevin Lee | THE UNIVERSITY OF ARIZONA | 1998 | male | 8 | 54 | 2017 | 10 | 108 | 2017 | 0 | 0 | 0 | 1 | 2 | 5 | 2 | 2 | 1 | 1 | 2 | 6 | 7 | 4 | 5 | 3 | 2 | 4 | 1 | 4 | 1 | 5 | 0 | 2 |  0 | 0 | 0 | 1 | 3 | 6 | 3 | 3 | 2 | 4 | 3 | 8 | 11 | 9 | 8 | 8 | 7 | 8 | 6 | 5 | 5 | 9 | 2 | 5 |
222 | Monier, Eric Martin | UNIVERSITY OF PITTSBURGH | 1998 | male | 2 | 5 | 2009 | 5 | 14 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 2 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 1 | 2 |
223 | Shang, Hsien Sienny | UNIVERSITY OF CALIFORNIA, BERKELEY | 1998 | male | 2 | 10 | 2010 | 7 | 57 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 1 | 1 | 1 | 1 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 1 | 3 | 0 | 4 | 3 | 1 | 1 | 1 | 3 | 5 | 5 | 3 | 2 | 4 | 3 | 3 | 5 | 6 | 3 | 2 |
224 | Russell, Christine Helene | STATE UNIVERSITY OF NEW YORK AT ALBANY | 1998 | female | 1 | 3 | 2007 | 2 | 15 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 9 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 |
225 | Psaltis, Dimitrios | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN | 1998 | male | 6 | 24 | 2016 | 19 | 110 | 2016 | 0 | 0 | 2 | 1 | 1 | 2 | 4 | 1 | 2 | 2 | 0 | 0 | 0 | 1 | 1 | 5 | 0 | 0 | 0 | 2 | 1 | 2 | 2 | 1 |  0 | 0 | 4 | 3 | 4 | 8 | 7 | 3 | 5 | 4 | 4 | 1 | 2 | 6 | 3 | 11 | 8 | 8 | 3 | 10 | 5 | 6 | 11 | 13 |
226 | Ashford, Stephen Martin | UNIVERSITY OF CALIFORNIA, BERKELEY | 1998 | male | 2 | 0 | 1998 | 7 | 0 | 1998 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
227 | Mualem, Leon Marun | UNIVERSITY OF MINNESOTA | 1998 | male | 2 | 1 | 1999 | 8 | 18 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 4 | 0 | 3 | 1 | 1 | 2 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 1 | 1 | 2 | 2 |
228 | Surman, Rebecca Ann | THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL | 1998 | female | 3 | 9 | 2014 | 3 | 35 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 2 | 2 | 3 | 1 | 3 | 3 | 1 | 2 | 7 | 1 | 1 | 1 | 5 |
229 | Wang, Zhe-Hui | PRINCETON UNIVERSITY | 1998 | male | 3 | 16 | 2016 | 11 | 94 | 2016 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 2 | 4 | 1 |  2 | 2 | 2 | 3 | 0 | 2 | 0 | 17 | 3 | 1 | 2 | 7 | 5 | 4 | 3 | 8 | 2 | 6 | 3 | 12 | 6 | 3 | 6 | 6 |
230 | Simon, Amy Ann | NEW MEXICO STATE UNIVERSITY | 1998 | female | 3 | 13 | 2017 | 8 | 46 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 4 | 1 |  0 | 0 | 1 | 3 | 1 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 1 | 1 | 1 | 4 | 7 | 11 | 8 |
