non-USA|-|2018|Dept. of Phys., IETP, Karlsruhe Inst. for Tech. (K.I.T.), Wolfgang-Gaedestr.1, D-76131 Karlsruhe, Germany|2|Gebauer, Iris|Gebauer, Iris
non-USA|-|2018|Institute of Space and Astronautical Science, Sagamihara, Japan|0|Nagai, Tomoyuki|Nagai, T.
non-USA|-|2018|Kapteyn Astronomical Institute, University of Groningen, Postbus 800, 9700 AV, Groningen, The Netherlands|0|McFarland, John Patrick|McFarland, J.
non-USA|-|2018|Key Laboratory of Space Astronomy and Technology, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China|0|Xin, Lei|Xin, L. P.
non-USA|-|2018|Observatoire de Genève, Universitè de Genève, 51 Ch. des Maillettes, CH-1290 Versoix, Switzerland|0|Chisholm, James R.|Chisholm, J.
non-USA|-|2018|Sorbonne Université, Université Paris Diderot, CNRS/IN2P3, Laboratoire de Physique Nucléaire et de Hautes Énergies, 4 Place Jussieu, Paris, France|0|Bongard, Sebastien|Bongard, S.
non-USA|-|2019|ARC Center of Excellence for All-Sky Astrophysics in Three Dimensions (ASTRO-3D), Australia; Sydney Institute for Astronomy, School of Physics, A28, The University of Sydney, NSW 2006, Australia|0|Sharma, Sanjib|Sharma, Sanjib
non-USA|-|2019|ARC Centre of Excellence for All Sky Astrophysics in 3 Dimensions (ASTRO 3D); International Centre for Radio Astronomy Research, University of Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia|0|Catinella, Barbara|Catinella, Barbara
non-USA|-|2019|Astronomy Department, Beijing Normal University, Beijing 100875, China; School of Physics and Electronic Science, Guizhou Education University, Guiyang 550025, China|0|Yang, Yuxuan|Yang, Y. Y.
non-USA|-|2019|CAS Key Laboratory of Crust-Mantle Materials and Environments, School of Earth and Space Sciences, University of Science and Technology of China, Hefei 230026, PR China|0|Li, Han|Li, Han
non-USA|-|2019|Center for Cosmology and Particle Physics, New York University, New York|0|Tinker, Jeremy L.|Tinker, Jeremy
non-USA|-|2019|Center for Gravitational Physics, Yukawa Institute for Theoretical Physics, Kyoto University, 606-8502 Kyoto, Japan|0|De Felice, Antonio|De Felice, Antonio
non-USA|-|2019|Centre for Astrophysics and Supercomputing, Swinburne University of Technology, PO Box 218, Hawthorn, VIC 3122, Australia|0|Cooke, Jeffrey D.|Cooke, J.
non-USA|-|2019|Department of Astronomy and Astrophysics, Tata Institute of Fundamental Research, Homi Bhabha Road, Navy Nagar, Colaba, Mumbai 400005, India|0|Shaw, Gargi|Shaw, Gargi
non-USA|-|2019|Department of Astronomy, Beijing Normal University, 100875 Beijing, China; National Astrononomical Observatories, Chinese Academy of Sciences, 20A Datun Road, Chaoyang District, 100012 Beijing, China|0|Li, Yuexing|Li, C.
non-USA|-|2019|Department of Earth System Science, Tsinghua University, Beijing, China|0|Tian, Feng|Tian, F.
non-USA|-|2019|Department of Physics and Astronomy, Seoul National University, Seoul, Republic of Korea|0|Woo, Jong-Hak|Woo, Jong-Hak
non-USA|-|2019|Department of Physics, Engineering Physics and Astronomy Queen’s University Kingston, ON K7L 3N6, Canada ; Department of Physics and Space Science Royal Military College of Canada P.O. Box 17000, Station Forces Kingston, ON K7K 7B4, Canada|0|Spekkens, Kristine|Spekkens, Kristine
non-USA|-|2019|Department of Physics, National Central University, Jhongli District, Taoyuan City 32054, Taiwan|0|Chen, Yun|Chen, Y. -J.
non-USA|-|2019|Department of Physics, Sungkyunkwan University (SKKU), Suwon 16419, Republic of Korea|0|Lee, Jeong-Eun|Lee, J.
USA|R1|2019|Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, United States of America|0|Kesden, Michael|Kesden, Michael
non-USA|-|2019|Earth Observatory of Singapore, Singapore; Now at Institute of Environmental Science and Research Ltd., Wellington, New Zealand|0|Bolton, Adam Stallard|Bolton, A.
non-USA|-|2019|European Southern Observatory, Alonso de Córdova 3107, Vitacura, Santiago, Chile|0|Wahhaj, Zahed|Wahhaj, Z.
non-USA|-|2019|Foundation for Research and Technology - Hellas, IA &amp; IESL, Voutes, 71110 Heraklion, Greece; Department of Physics and Institute of Theoretical &amp; Computational Physics, University of Crete, PO Box 2208, GR-710 03, Heraklion, Crete, Greece|0|Pavlidou, Vasiliki|Pavlidou, V.
non-USA|-|2019|Foundation for Research and Technology - Hellas, IA &amp; IESL, Voutes, 71110 Heraklion, Greece; Department of Physics and Institute of Theoretical &amp; Computational Physics, University of Crete, PO Box 2208, GR-710 03, Heraklion, Crete, Greece|0|Tassis, Konstantinos|Tassis, K.
non-USA|-|2019|IAASARS, National Observatory of Athens, 15236 Penteli, Greece|0|Bonanos, Alceste Zoe|Bonanos, A. Z.
non-USA|-|2019|INAF-Osservatorio Astrofisico di Torino, via Osservatorio 20, I-10025 Pino Torinese, Italy|0|Sozzetti, Alessandro|Sozzetti, A.
non-USA|-|2019|IRFU, CEA, Université Paris-Saclay, F-91191 Gif-sur-Yvette, France|0|Kosack, Karl Peter|Kosack, K.
non-USA|-|2019|Indian Centre for Space Physics, Chalantika 43, Garia Station Rd., Kolkata 700084, India; S. N. Bose National Centre for Basic Sciences, JD-Block, Salt Lake, Kolkata 700106, India|0|Chakrabarti, Sukanya|Chakrabarti, S. K.
non-USA|-|2019|Institute of Astronomy and Astrophysics, Academia Sinica. 11F of Astronomy-Mathematics Building, AS/NTU No.1, Section 4, Roosevelt Rd, Taipei 10617, Taiwan|0|Liu, Hang|Liu, S. -Y.
non-USA|-|2019|Institute of Astronomy, National Central University, 32001, Taiwan|0|Ngeow, Chow-Choong|Ngeow, Chow-Choong
non-USA|-|2019|Institute of Geochemistry Chinese Academy of Sciences, Guiyang 550002, China|0|Liu, Jifeng|Liu, J.
non-USA|-|2019|Institute of Theoretical Astrophysics, University of Oslo, Postboks 1029, 0315 Oslo, Norway|0|Dijkstra, Mark|Dijkstra, Mark
non-USA|-|2019|Instituto de Astronomía, Universidad Autónoma Nacional de México, Campus Ensenada; Mexico|0|Hernandez, John C.|Hernandez, J.
non-USA|-|2019|Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México. Apartado Postal 70-543, 04510 Ciudad de México, México; Instituto de Astronomía Teórica y Experimental, Universidad Nacional de Córdoba, X500BGR Córdoba, Argentina|0|Esquivel, Alejandro|Esquivel, A.
non-USA|-|2019|Istituto Nazionale di Astrofisica, Osservatorio Astronomico di Trieste, via Tiepolo 11, I-34143 Trieste, Italy; Istituto Nazionale di Fisica Nucleare, Sezione di Trieste, Via Valerio, 2, I-34127 Trieste, Italy|0|Sefusatti, Emiliano|Sefusatti, Emiliano
non-USA|-|2019|Joint ALMA Observatory, Alonso de Cordova 3107, Vitacura, Santiago 763-0355, Chile|0|Cortes, Paulo Cesar|Cortes, Paulo
