n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
116 | Dooley, Katherine Laird | University of Florida | 2011 | female | 1 | 1 | 2016 | 35 | 108 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |  1 | 0 | 4 | 13 | 8 | 9 | 17 | 7 | 16 | 7 | 29 |
117 | Devaraj, Kiruthika | Georgia Institute of Technology | 2011 | female | 3 | 1 | 2014 | 3 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 1 |
118 | Alizadeh, Esfandiar | University of Illinois at Urbana-Champaign | 2011 | male | 3 | 1 | 2012 | 4 | 2 | 2015 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 1 | 0 |
119 | Ilie, Cosmin | University of Michigan | 2011 | male | 3 | 1 | 2012 | 4 | 3 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 0 |
120 | Virgili, Francisco Javier | University of Nevada, Las Vegas | 2011 | male | 4 | 2 | 2013 | 8 | 12 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 0 | 0 | 0 |  0 | 2 | 0 | 2 | 0 | 4 | 1 | 3 | 4 | 3 | 0 |
121 | Lin, Pei-Ying | Arizona State University | 2011 | female | 1 | 1 | 2014 | 2 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 |
122 | Carlberg, Joleen Karen | University of Virginia | 2011 | female | 4 | 6 | 2018 | 6 | 18 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 1 | 1 | 2 |  0 | 0 | 0 | 1 | 2 | 3 | 1 | 2 | 2 | 2 | 8 |
123 | Smolinski, Jason P. | Michigan State University | 2011 | male | 3 | 0 | 2011 | 6 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 1 | 4 | 0 | 0 | 0 | 0 | 0 |
124 | Strelcov, Evgheni | Southern Illinois University at Carbondale | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
125 | Capano, Collin D. | Syracuse University | 2011 | male | 1 | 3 | 2017 | 16 | 104 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 |  0 | 0 | 0 | 2 | 6 | 8 | 16 | 7 | 14 | 7 | 29 |
126 | Gabor, Jared M. | The University of Arizona | 2011 | male | 4 | 6 | 2016 | 11 | 17 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 1 |  0 | 1 | 1 | 4 | 2 | 3 | 2 | 4 | 4 | 3 | 1 |
